,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,대표장르,감독,배우
815,816,강릉,2021-11-10,3676500,0.00%,3175724270,387,306809,1,2,한국,한국,"(주)아센디오,(주)본팩토리,(주)데이드림엔터테인먼트,(유)조이앤시네마","(주)스튜디오 산타클로스엔터테인먼트,(주)아센디오,(주)제이앤씨미디어그룹",청소년관람불가,범죄,윤영빈,"유오성,장혁,박성근,오대환,김준배,이현균,신승환,최기섭,김세준,조현식,송영규,박정학,이채영,한선화,김병춘,배미자,유현수,지찬,전인혁,박재한,우상기,신유람,선율우,우혁,서재필,고윤빈,김누림,이진성,이건구,강나영,문하은,함건수,홍도성,장민기,박태산,김림후,오윤수,정진우,원필호,하정민,추상민,전희련,이도훈,박민현,유용국,김득겸,남강민,강정우,박준혁,전재홍,박경훈,김동준,이환의,김현빈,정재훈,윤동주,손교성,천석현,김민하,한동훈,박선혜,강성하,고건우,김한,염한성,김정섭,오명훈,김보성,곽장륜,최가인,이지영,한나나,이민영,오영철,공라희,지나경,김진환,유동현,엄태성,오성현,박준호,정현지,연수,김민석"
816,816,세인트 루이스에서 만나요,정보없음,806000,0.00%,2974000,387,1451,1,17,미국,미국,정보없음,정보없음,전체관람가,코미디,빈센트 미넬리,"주디 갈란드,마가렛 오브라이언"
817,816,태양은 가득히,1973-02-03,774000,0.00%,28789500,387,12810,1,9,프랑스,"프랑스,이탈리아",정보없음,정보없음,12세이상관람가,범죄,르네 끄레망,"알랑 드롱,마리 라포레,모리스 로네"
818,819,신사는 금발을 좋아해,정보없음,818000,0.00%,18949000,385,8168,1,22,미국,미국,정보없음,정보없음,정보없음,코미디,하워드 혹스,"제인 러셀,마릴린 몬로"
819,820,미인,2022-02-24,3055000,0.00%,3055000,384,384,5,39,한국,한국,"필름에이픽쳐스,한국영상대학교",필름에이픽쳐스,전체관람가,다큐멘터리,홍태선,"이근이,남호현"
820,821,아파트 열쇠를 빌려드립니다,정보없음,781000,0.00%,4624000,383,2304,1,18,미국,미국,정보없음,정보없음,정보없음,멜로/로맨스,빌리 와일더,"잭 레먼,셜리 맥클레인"
821,822,The CMR2022 이권의 큐레이션 2,정보없음,2674000,0.00%,2674000,382,382,3,6,한국,한국,정보없음,정보없음,정보없음,기타,정보없음,정보없음
822,822,이터널스,2021-11-03,2463000,0.00%,31731747450,382,3050514,3,9,미국,미국,정보없음,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,클로이 자오,"안젤리나 졸리,마동석,리처드 매든,쿠마일 난지아니,셀마 헤이엑"
823,824,디어 평양,2006-11-23,3019000,0.00%,18915400,381,2878,2,11,일본,일본,체온,㈜씨네콰논코리아,12세관람가,다큐멘터리,양영희,정보없음
824,824,지지,정보없음,414000,0.00%,4346000,381,2328,1,13,미국,미국,정보없음,정보없음,정보없음,코미디,빈센트 미넬리,"레슬리 카론,모리스 슈발리에,루이스 주르당"
